faiss_id,entity,label,type
242,reo:betti-venneri,Betti-Venneri,foaf:Person
243,reo:bianchini-francesca,Bianchini Francesca,foaf:Person
244,reo:bianchini-paolo,BIANCHINI Paolo,foaf:Person
245,reo:bianciardi-cesare,BIANCIARDI CESARE,foaf:Person
246,reo:bianciotto-marta,BIANCIOTTO MARTA,foaf:Person
247,reo:bianco-elisabetta,BIANCO Elisabetta,foaf:Person
248,reo:bianco-lorenzo,BIANCO Lorenzo,foaf:Person
249,reo:bianco-prevot-alessandra,BIANCO PREVOT Alessandra,foaf:Person
250,reo:biancone-paolo,BIANCONE Paolo,foaf:Person
251,reo:bicchi-carlo,BICCHI Carlo,foaf:Person
252,reo:bichiri-francesca,BICHIRI FRANCESCA,foaf:Person
253,reo:biddau-claudio,BIDDAU Claudio,foaf:Person
254,reo:bifone-angelo,BIFONE Angelo,foaf:Person
255,reo:biggio-federico,BIGGIO FEDERICO,foaf:Person
256,reo:bignante-elisa,BIGNANTE Elisa,foaf:Person
257,reo:bini-enrico,BINI Enrico,foaf:Person
258,reo:bioglio-livio,BIOGLIO Livio,foaf:Person
259,reo:bioglio-valerio,BIOGLIO Valerio,foaf:Person
260,reo:biolatti-matteo,BIOLATTI Matteo,foaf:Person
261,reo:biondi-teresa,BIONDI TERESA,foaf:Person
262,reo:birke-robert-renè-maria,BIRKE Robert Renè Maria,foaf:Person
263,reo:bironzo-paolo,BIRONZO Paolo,foaf:Person
264,reo:blanc-simone,BLANC Simone,foaf:Person
265,reo:blengino-cecilia-piera,BLENGINO Cecilia Piera,foaf:Person
266,reo:bo-simona,BO Simona,foaf:Person
267,reo:boano-rosa,BOANO Rosa,foaf:Person
268,reo:bobbio-tommaso,BOBBIO Tommaso,foaf:Person
269,reo:bocca-garetto-michele-paolo,BOCCA GARETTO Michele Paolo,foaf:Person
270,reo:boccardo-roberta,BOCCARDO Roberta,foaf:Person
271,reo:boccia-gennaro,BOCCIA Gennaro,foaf:Person
272,reo:boda-enrica,BODA Enrica,foaf:Person
273,reo:bodo-arianna,BODO ARIANNA,foaf:Person
274,reo:boella-g,BOELLA-G,foaf:Person
275,reo:boeris-cristina,BOERIS CRISTINA,foaf:Person
276,reo:boetti-giulia,BOETTI GIULIA,foaf:Person
277,reo:boffetta-guido,BOFFETTA Guido,foaf:Person
278,reo:boggio-cecilia,BOGGIO Cecilia,foaf:Person
279,reo:bogino-m,Bogino-M,foaf:Person
280,reo:boido-marina-maria,BOIDO Marina Maria,foaf:Person
281,reo:boldi-p,BOLDI-P,foaf:Person
282,reo:bollani-luigi,BOLLANI Luigi,foaf:Person
283,reo:bolli-elisabetta,BOLLI ELISABETTA,foaf:Person
284,reo:bollo-enrico,BOLLO Enrico,foaf:Person
285,reo:bolzoni-magda,BOLZONI MAGDA,foaf:Person
286,reo:bona-francesca,BONA FRANCESCA,foaf:Person
287,reo:bonadonna-alessandro,BONADONNA Alessandro,foaf:Person
288,reo:bonato-laura,BONATO Laura,foaf:Person
289,reo:bonatti-irene,BONATTI Irene,foaf:Person
290,reo:bonciolini-ambra,BONCIOLINI AMBRA,foaf:Person
291,reo:bondesan-matteo,BONDESAN MATTEO,foaf:Person
292,reo:bonelli-simona,BONELLI Simona,foaf:Person
293,reo:bonetta-sara,BONETTA Sara,foaf:Person
294,reo:bonetta-silvia,BONETTA Silvia,foaf:Person
295,reo:bonetto-sabrina,BONETTO Sabrina,foaf:Person
296,reo:bonfante-paola,BONFANTE Paola,foaf:Person
297,reo:bonfanti-chiara,BONFANTI CHIARA,foaf:Person
298,reo:bonfanti-luca,BONFANTI Luca,foaf:Person
299,reo:bongiovanni-silvia,BONGIOVANNI SILVIA,foaf:Person
300,reo:bonifacio-eleonora,BONIFACIO Eleonora,foaf:Person
301,reo:bonino-elisa,BONINO ELISA,foaf:Person
302,reo:bonino-greta,BONINO Greta,foaf:Person
303,reo:bonino-guido,BONINO Guido,foaf:Person
304,reo:bonino-raffaella,BONINO Raffaella,foaf:Person
305,reo:bono-roberto,BONO Roberto,foaf:Person
306,reo:bono-viviana,BONO Viviana,foaf:Person
307,reo:bonometti-elisabetta,BONOMETTI Elisabetta,foaf:Person
308,reo:bonomo-matteo,BONOMO Matteo,foaf:Person
309,reo:bordiga-silvia,BORDIGA Silvia,foaf:Person
310,reo:borello-maria,BORELLO MARIA,foaf:Person
311,reo:borgetti-nadia,BORGETTI Nadia,foaf:Person
312,reo:borghi-alessandro,BORGHI Alessandro,foaf:Person
313,reo:borghi-maurizio,BORGHI Maurizio,foaf:Person
314,reo:borghino-sinleber-giuliana-maria,BORGHINO SINLEBER Giuliana Maria,foaf:Person
315,reo:borgia-carola,BORGIA CAROLA,foaf:Person
316,reo:borgna-paola,BORGNA Paola,foaf:Person
317,reo:borgogno-mondino-enrico-corrado,BORGOGNO MONDINO Enrico Corrado,foaf:Person
318,reo:borio-alex,BORIO Alex,foaf:Person
319,reo:borla-giorgio,BORLA Giorgio,foaf:Person
320,reo:borraccino-alberto,BORRACCINO Alberto,foaf:Person
321,reo:borreani-giorgio,BORREANI Giorgio,foaf:Person
322,reo:borriello-giuliano,BORRIELLO Giuliano,foaf:Person
323,reo:borroni-chiara,BORRONI CHIARA,foaf:Person
324,reo:borsero-massimo,BORSERO MASSIMO,foaf:Person
325,reo:bosc-franca,BOSC FRANCA,foaf:Person
326,reo:boscaro-valentina,BOSCARO Valentina,foaf:Person
327,reo:bosco-cristina,BOSCO Cristina,foaf:Person
328,reo:bosco-francesco,BOSCO FRANCESCO,foaf:Person
329,reo:bosco-gabriella,BOSCO Gabriella,foaf:Person
330,reo:bosia-federico,BOSIA Federico,foaf:Person
331,reo:bosio-lorenzo,BOSIO Lorenzo,foaf:Person
332,reo:bossi-luca,BOSSI LUCA,foaf:Person
333,reo:bossi-simone,BOSSI Simone,foaf:Person
334,reo:botta-m,BOTTA-M,foaf:Person
335,reo:botta-marco,BOTTA Marco,foaf:Person
336,reo:botta-r,BOTTA-R,foaf:Person
337,reo:bottegoni-lucrezia,BOTTEGONI LUCREZIA,foaf:Person
338,reo:botto-loris,BOTTO LORIS,foaf:Person
339,reo:bottrighi-a,BOTTRIGHI-A,foaf:Person
340,reo:bovetti-serena,BOVETTI Serena,foaf:Person
341,reo:bovier-maria-chiara,BOVIER MARIA CHIARA,foaf:Person
342,reo:bovolin-patrizia,BOVOLIN Patrizia,foaf:Person
343,reo:bovolo-carlo,BOVOLO Carlo,foaf:Person
344,reo:bracciali-andrea,Andrea BRACCIALI,foaf:Person
345,reo:braccio-edoardo,BRACCIO EDOARDO,foaf:Person
346,reo:bracco-enrico,BRACCO Enrico,foaf:Person
347,reo:bracco-pierangiola,BRACCO Pierangiola,foaf:Person
348,reo:bragagnolo-andrea,BRAGAGNOLO Andrea,foaf:Person
