faiss_id,entity,label,type
55,reo:101917-publicengagement,Urbanistica di genere-FirstLife,reo:PublicEngagement
56,reo:101919-publicengagement,A.C.C.RE.S.C.E Cagliari,reo:PublicEngagement
57,reo:101920-publicengagement,-Tecnoprofezie un progetto di welfare culturale tra innovazione digitale e fantascienza- presso Salone del libro,reo:PublicEngagement
58,reo:101925-publicengagement,Intelligenza Artificiale- Corso di aggiornamento per docenti,reo:PublicEngagement
59,reo:101926-publicengagement,I Martedì di Laqup,reo:PublicEngagement
60,reo:102086-publicengagement,-Chi ha paura di CHATGPT?- Salone del libro,reo:PublicEngagement
61,reo:102088-publicengagement,BLOCKCHAIN & EUROPE’s GOVERNANCE TRANSFORMATION FROM GLOBAL TO LOCAL,reo:PublicEngagement
62,reo:102089-publicengagement,CHAT GPT Promesse e Illusioni,reo:PublicEngagement
63,reo:102095-publicengagement,ChatGPT: promesse e illusioni YouTube Fondazione Circolo dei Lettori,reo:PublicEngagement
64,reo:102098-publicengagement,Webinar Presentazione e attivazione collettiva della piattaforma Firstlife per Mindchangers,reo:PublicEngagement
65,reo:102099-publicengagement,Laboratorio Mufant,reo:PublicEngagement
66,reo:102136-publicengagement,Social Festival Comunità Educative 2023 | Social: Regno delle Non cose o luoghi di vita reale?,reo:PublicEngagement
67,reo:102139-publicengagement,Blockchain for social good e civic blockchain in 𝐁𝐥𝐨𝐜𝐤𝐜𝐡𝐚𝐢𝐧 𝐞 𝐜𝐫𝐢𝐩𝐭𝐨𝐯𝐚𝐥𝐮𝐭𝐞: 𝐧𝐮𝐨𝐯𝐢 𝐩𝐚𝐫𝐚𝐝𝐢𝐠𝐦𝐢 𝐬𝐨𝐜𝐢𝐨-𝐞𝐜𝐨𝐧𝐨𝐦𝐢𝐜𝐢,reo:PublicEngagement
68,reo:102143-publicengagement,-Castagnata all'orto-,reo:PublicEngagement
69,reo:102146-publicengagement,Inaugurazione strada pedonale via cumiana - Con i bambini- Comunitattiva,reo:PublicEngagement
70,reo:102148-publicengagement,TECHSHARE DAY 2023,reo:PublicEngagement
71,reo:102151-publicengagement,ComunitAttiva Con i bambini - Presentazione FirstLife ai partner di Rete,reo:PublicEngagement
72,reo:102154-publicengagement,Presentazione del progetto 𝐄𝐃𝐔𝐋𝐈𝐅𝐄 -  𝐈𝐋 𝐏𝐑𝐎𝐆𝐄𝐓𝐓𝐎 𝐃𝐈 𝐂𝐈𝐓𝐓𝐀𝐃𝐈𝐍𝐀𝐍𝐙𝐀 𝐀𝐓𝐓𝐈𝐕𝐀 𝐑𝐈𝐕𝐎𝐋𝐓𝐎 𝐀 𝐑𝐀𝐆𝐀𝐙𝐙𝐄 𝐄 𝐑𝐀𝐆𝐀𝐙𝐙𝐈,reo:PublicEngagement
73,reo:102159-publicengagement,Quali sono i (reali) rischi dell’intelligenza artificiale? Guido Boella,reo:PublicEngagement
74,reo:102160-publicengagement,Fondazione Giannino Bassetti-  L'Intelligenza artificiale cambia il perno dell'etica - Intervista a Guido Boella,reo:PublicEngagement
75,reo:102164-publicengagement,Incontro Flaneuse,reo:PublicEngagement
76,reo:102167-publicengagement,-I profili bioetici della rivoluzione digitale- XI Corso di alta specializzazione di etica medica.,reo:PublicEngagement
77,reo:102175-publicengagement,Partecipazione alle attività del Comitato Scientifico della Fondazione Istituto Piemontese Antonio Gramsci Onlus (https://www.gramscitorino.it/le-persone/),reo:PublicEngagement
78,reo:102283-publicengagement,Summer School - Fisica -Acqua e aria: diversi ma fluidi-,reo:PublicEngagement
79,reo:102323-publicengagement,Career Day 2023,reo:PublicEngagement
80,reo:102386-publicengagement,Scopriamo l'etica dell'universo AI. Che principi guidano l'esplorazione dell'ultima frontiera tecnologica?,reo:PublicEngagement
81,reo:102399-publicengagement,Intervista per la rivista di divulgazione Start Hub Torino,reo:PublicEngagement
82,reo:102402-publicengagement,-E' il momento di parlare (seriamente) di etica dell'intelligenza artificiale-,reo:PublicEngagement
83,reo:102411-publicengagement,“Prossime città città prossime: incontri ravvicinati tra fantascienza e antropologia ai confini della realtà”,reo:PublicEngagement
84,reo:102419-publicengagement,NLAB e Commonshood a -ICT for Smart Cities and Communities-,reo:PublicEngagement
85,reo:102422-publicengagement,Kickoff Meeting progetto CHEDIH,reo:PublicEngagement
86,reo:102444-publicengagement,Musei di classe,reo:PublicEngagement
87,reo:102446-publicengagement,We&Here-Mestre,reo:PublicEngagement
88,reo:102462-publicengagement,Grandi temi al Circolo attorno ai libri. Dall'attivismo all'intelligenza artificiale - Torinosette (La Stampa),reo:PublicEngagement
89,reo:102463-publicengagement,Come ci cambierà l’AI? - La Repubblica (Torino),reo:PublicEngagement
90,reo:102467-publicengagement,Teresa Numerico “Quanto è naturale l’Intelligenza Artificiale?”-  - Il Posto delle Parole,reo:PublicEngagement
91,reo:102470-publicengagement,L'intelligenza artificiale e umana un dibattito ideato dall'Università- La Stampa,reo:PublicEngagement
92,reo:102471-publicengagement,L'intelligenza artificale ci cambierà? Torinosette (La Stampa),reo:PublicEngagement
93,reo:102478-publicengagement,San Giovanni al Mufant,reo:PublicEngagement
94,reo:102480-publicengagement,-Chatbot revolution quali rischi e implicazioni - Intervista Guido Boella su Morning future,reo:PublicEngagement
95,reo:102481-publicengagement,Piazza ragazzabile- Commoshood Nlab4cit,reo:PublicEngagement
96,reo:102483-publicengagement,Workshop Collegno - Nlab4cit-,reo:PublicEngagement
97,reo:102488-publicengagement,Istituto Perotti incontra Francesca Troise(presidente circoscrizione 3 Torino),reo:PublicEngagement
98,reo:102495-publicengagement,This Friday Public Service AI /// Trust - Values - Accuracy,reo:PublicEngagement
99,reo:102496-publicengagement,L'intelligenza artificiale sbarca in ateneo e supera brillantemente gli esami- Rai TGR Piemonte,reo:PublicEngagement
100,reo:102748-publicengagement,Olimpiadi Italiane di Informatica,reo:PublicEngagement
101,reo:102836-publicengagement,Giochi di Fibonacci,reo:PublicEngagement
102,reo:102839-publicengagement,Corso di formazione per gli studenti selezionati alle gare territoriali delle Olimpiadi Italiane di Informatica,reo:PublicEngagement
103,reo:102842-publicengagement,Workshop su -Competitivity Platforms for Informatics Education- (CPxIE),reo:PublicEngagement
104,reo:102887-publicengagement,VIAGGIO - Orizzonti frontiere Generazioni,reo:PublicEngagement
105,reo:102894-publicengagement,-Intelligenza Artificiale: qualcosa è cambiato- Radio24 Smart City XL,reo:PublicEngagement
106,reo:102895-publicengagement,ChatGPT e intelligenza artificiale premesse e illusioni- Radio Beckwith Evangelica,reo:PublicEngagement
107,reo:102898-publicengagement,Un caffè con Guido Boella Rete 7,reo:PublicEngagement
108,reo:102910-publicengagement,ChatGpt: l’intelligenza artificiale supera il test d’ammissione all’università al posto dello studente,reo:PublicEngagement
109,reo:102921-publicengagement,Crowdmapping con Firstlife in -Mapping e countermapping the city- -Geonight,reo:PublicEngagement
110,reo:102944-publicengagement,ChatGPT confronto su promesse e illusioni - Corriere della Sera (Torino),reo:PublicEngagement
111,reo:102946-publicengagement,ChatGpt ha le allucinazioni. È pericolosa per i bambini Torino Cronaca Qui,reo:PublicEngagement
112,reo:102962-publicengagement,la Fiera di Savigliano -  Tra i relatori dell'incontro il Prof. Guido Boella,reo:PublicEngagement
113,reo:102966-publicengagement,Etica ed AI per il Laboratorio Democrazia Liceo Einstein,reo:PublicEngagement
114,reo:102967-publicengagement,Prima Giornata della Ricerca IUSVE – L’intelligenza artificiale all’università tra didattica e ricerca,reo:PublicEngagement
115,reo:102969-publicengagement,Arte e(') Scienza - Associazione Italiana di Archeometria - Una nessuna centomila: le discipline dell’archeometria,reo:PublicEngagement
116,reo:102970-publicengagement,“ChatGPT: promesse e illusioni” al Circolo dei lettori- TORINO MAGAZINE,reo:PublicEngagement
117,reo:102985-publicengagement,La tecnologia risponde all'uomo il punto sull'intelligenza artificiale-Torinosette (La Stampa),reo:PublicEngagement
118,reo:102994-publicengagement,ChatGPT: Promesse e illusioni - intervista a Guido Boella Radio Stereo 5,reo:PublicEngagement
119,reo:102998-publicengagement,Guido Boella “ChatGPT promesse e illusioni”- Radio TRS - Il Posto delle Parole,reo:PublicEngagement
120,reo:103002-publicengagement,Universitalk- “Artificial Intelligence. Implicazioni etiche per lo sviluppo della tecnologia del futuro”,reo:PublicEngagement
121,reo:103008-publicengagement,Presentazione FirstLife per mappature sociali al Consorzio Socio-assistenziale Restituire di Treviso,reo:PublicEngagement
122,reo:103009-publicengagement,blog progetto NLAB4cit,reo:PublicEngagement
123,reo:103010-publicengagement,Visita ai siti progetto NLAB ad Atene e a Kessariani (Grecia),reo:PublicEngagement
124,reo:103011-publicengagement,Pagina Facebook Firstlife,reo:PublicEngagement
125,reo:103012-publicengagement,Newsletter Firstlife,reo:PublicEngagement
126,reo:103014-publicengagement,Next generation Upp- L'ufficio per il processo tra presente e futuro nell'italia del nord-ovest,reo:PublicEngagement
127,reo:103023-publicengagement,Bartezzaghi “ChatGpt è un concorrente che ti fa chiedere chi sei” La Repubblica (Torino),reo:PublicEngagement
128,reo:103026-publicengagement,Guido Boella “Attenzione all’intelligenza artificiale è una trappola per le emozioni”- La Stampa (Torino),reo:PublicEngagement
129,reo:103030-publicengagement,AI Act: etica diritto e informatica a confronto,reo:PublicEngagement
130,reo:103044-publicengagement,Etica e Filosofia nell’Intelligenza Artificiale: definire i limiti dello sviluppo,reo:PublicEngagement
131,reo:103048-publicengagement,Online PhD course in Ethics and AI- Sipeia,reo:PublicEngagement
132,reo:103057-publicengagement,Il metaverso: realtà o finzione?,reo:PublicEngagement
133,reo:103061-publicengagement,Laboratorio FIRSTLIFE-tecnoprofezie,reo:PublicEngagement
134,reo:103066-publicengagement,Sito Ai Aware,reo:PublicEngagement
135,reo:103077-publicengagement,Porte Aperte a Informatica,reo:PublicEngagement
136,reo:103080-publicengagement,Attività didattica di introduzione alla robotica nelle materie STEM con l'uso di prodotti LEGO® Educational presso l'IC Statale Settimo I,reo:PublicEngagement
137,reo:103085-publicengagement,Intelligenza artificiale: Torino capitale italiana tra robot e belle donne - Cronaca Qui Torino,reo:PublicEngagement
138,reo:103087-publicengagement,L'intelligenza Artificiale non e' magia ma un insieme di metodologie e tecnologie,reo:PublicEngagement
139,reo:103088-publicengagement,Living labs for civic technologies: a case study. Community infrastructuring for a volunteer firefighting service,reo:PublicEngagement
140,reo:103092-publicengagement,Digital Heroes,reo:PublicEngagement
141,reo:103096-publicengagement,Articolo La stampa -La lingua dei muri-,reo:PublicEngagement
142,reo:103101-publicengagement,A.I. tempo presente - podcast,reo:PublicEngagement
143,reo:103104-publicengagement,-L'Italia studia tanto l'AI ma non crea start up e brevetti. Dobbiamo cambiare strategia-,reo:PublicEngagement
144,reo:103114-publicengagement,Articolo -Federated learning come coniugare intelligenza artificiale e privacy- per Agenda Digitale,reo:PublicEngagement
145,reo:103123-publicengagement,Intervento su -Comunicare con gli automi- al convegno -Le lingue che curano-,reo:PublicEngagement
146,reo:103135-publicengagement,seminario online sul Federated Learning,reo:PublicEngagement
147,reo:103137-publicengagement,Le storie del signor Otlé 1: Il mondo in una macchina,reo:PublicEngagement
148,reo:103148-publicengagement,Le storie del signor Otlé 2: Estensioni della memoria,reo:PublicEngagement
149,reo:103153-publicengagement,MoodleMoot Italia 2023,reo:PublicEngagement
150,reo:103157-publicengagement,Campagna crowdfunding MatematIcA senza barriere,reo:PublicEngagement
